"","priceType","area","yyyymm","day","deposit","price","floor","build","aptType","yyyy","mm","si"
"1197824","전세",59.5,201908,"9",29000,0,5,"2006","아파트","2019","08","부천시"
"472365","전세",56.63,201705,"2",13500,0,4,"1998","아파트","2017","05","시흥시"
"150498","전세",149.691,201611,"17",49000,0,9,"2010","아파트","2016","11","용인수지구"
"581086","전세",40,201710,"12",4000,0,1,"2017","단독다가구","2017","10","김포시"
"819765","전세",67.43,201808,"17",29000,0,5,"1994","아파트","2018","08","성남분당구"
"1280247","월세",59.97,201901,"3",3000,50,8,"2001","아파트","2019","01","용인기흥구"
"841829","전세",84.88,201806,"6",15000,0,8,"1996","아파트","2018","06","수원팔달구"
"298259","전세",90.3,201606,"16",18000,0,1,"2015","단독다가구","2016","06","평택시"
"524077","월세",84.34,201706,"7",2000,75,8,"2002","아파트","2017","06","의정부시"
"1513922","전세",22.45,201901,"7",12000,0,22,"2018","오피스텔","2019","01","부천시"
"1328194","전세",59.965,201906,"19",12000,0,11,"2003","아파트","2019","06","평택시"
"34497","월세",51.66,201610,"1",5000,55,10,"1992","아파트","2016","10","군포시"
"227983","월세",114.3,201609,"30",400,25,1,"1989","단독다가구","2016","09","부천시"
"771674","월세",59.07,201812,"12",9600,21,24,"2018","아파트","2018","12","군포시"
"795247","월세",59.9838,201803,"30",4000,65,12,"2018","아파트","2018","03","남양주시"
"577153","전세",49,201702,"21",17000,0,1,"2016","단독다가구","2017","02","구리시"
"311124","전세",36.195,201603,"28",7300,0,1,"1989","연립다세대","2016","03","고양덕양구"
"1129265","월세",59.95,201907,"26",5274,38,3,"2013","아파트","2019","07","고양덕양구"
"454679","전세",84.47,201707,"27",26500,0,13,"1993","아파트","2017","07","성남수정구"
"671620","전세",71.46,201707,"21",6000,0,3,"1991","연립다세대","2017","07","가평군"
"1224922","전세",84.9394,201903,"4",23000,0,16,"2002","아파트","2019","03","수원영통구"
"294927","월세",33,201604,"21",500,45,1,"2008","단독다가구","2016","04","이천시"
"1022658","전세",30.5,201805,"15",2500,0,1,"1991","단독다가구","2018","05","양주시"
"1371076","월세",50,201905,"23",500,55,1,"2018","단독다가구","2019","05","김포시"
"589870","월세",45,201701,"3",1000,40,1,"1989","단독다가구","2017","01","부천시"
"1150265","전세",119.79,201909,"24",54000,0,6,"2010","아파트","2019","09","광명시"
"205736","월세",30.35,201604,"5",1000,45,1,"1989","단독다가구","2016","04","과천시"
"1058666","전세",55.08,201812,"27",17000,0,2,"1996","연립다세대","2018","12","광명시"
"817337","전세",134.31,201803,"9",45000,0,14,"1992","아파트","2018","03","성남분당구"
"806088","전세",41.85,201808,"25",13000,0,5,"1994","아파트","2018","08","부천시"
"277188","전세",46.28,201612,"12",7000,0,1,"1990","단독다가구","2016","12","안양만안구"
"840493","전세",84.772,201802,"28",27000,0,3,"1999","아파트","2018","02","수원장안구"
